Title,Content
A Smile To Remember,"we had goldfish and they circled around and around
in the bowl on the table near the heavy drapes
covering the picture window and
my mother, always smiling, wanting us all
to be happy, told me, 'be happy Henry! '
and she was right: it's better to be happy if you
can
but my father continued to beat her and me several times a week while
raging inside his 6-foot-two frame because he couldn't
understand what was attacking him from within.
my mother, poor fish,
wanting to be happy, beaten two or three times a
week, telling me to be happy: 'Henry, smile!
why don't you ever smile? '
and then she would smile, to show me how, and it was the
saddest smile I ever saw
one day the goldfish died, all five of them,
they floated on the water, on their sides, their
eyes still open,
and when my father got home he threw them to the cat
there on the kitchen floor and we watched as my mother
smiled"
Alone With Everybody,"the flesh covers the bone
and they put a mind
in there and
sometimes a soul,
and the women break
vases against the walls
and the men drink too
much
and nobody finds the
one
but keep
looking
crawling in and out
of beds.
flesh covers
the bone and the
flesh searches
for more than
flesh.
there's no chance
at all:
we are all trapped
by a singular
fate.
nobody ever finds
the one.
the city dumps fill
the junkyards fill
the madhouses fill
the hospitals fill
the graveyards fill
nothing else
fills.
Anonymous submission."
An Almost Made Up Poem,"I see you drinking at a fountain with tiny
blue hands, no, your hands are not tiny
they are small, and the fountain is in France
where you wrote me that last letter and
I answered and never heard from you again.
you used to write insane poems about
ANGELS AND GOD, all in upper case, and you
knew famous artists and most of them
were your lovers, and I wrote back, it' all right,
go ahead, enter their lives, I' not jealous
because we' never met. we got close once in
New Orleans, one half block, but never met, never
touched. so you went with the famous and wrote
about the famous, and, of course, what you found out
is that the famous are worried about
their fame -  not the beautiful young girl in bed
with them, who gives them that, and then awakens
in the morning to write upper case poems about
ANGELS AND GOD. we know God is dead, they' told
us, but listening to you I wasn' sure. maybe
it was the upper case. you were one of the
best female poets and I told the publishers,
editors, ' her, print her, she' mad but she'
magic. there' no lie in her fire.' I loved you
like a man loves a woman he never touches, only
writes to, keeps little photographs of. I would have
loved you more if I had sat in a small room rolling a
cigarette and listened to you piss in the bathroom,
but that didn' happen. your letters got sadder.
your lovers betrayed you. kid, I wrote back, all
lovers betray. it didn' help. you said
you had a crying bench and it was by a bridge and
the bridge was over a river and you sat on the crying
bench every night and wept for the lovers who had
hurt and forgotten you. I wrote back but never
heard again. a friend wrote me of your suicide
3 or 4 months after it happened. if I had met you
I would probably have been unfair to you or you
to me. it was best like this."
And The Moon And The Stars And The World,"Long walks at night--
that's what good for the soul:
peeking into windows
watching tired housewives
trying to fight off
their beer-maddened husbands."
Bluebird,"there's a bluebird in my heart that
wants to get out
but I'm too tough for him,
I say, stay in there, I'm not going
to let anybody see
you.
there's a bluebird in my heart that
wants to get out
but I pour whiskey on him and inhale
cigarette smoke
and the whores and the bartenders
and the grocery clerks
never know that
he's
in there.
there's a bluebird in my heart that
wants to get out
but I'm too tough for him,
I say,
stay down, do you want to mess
me up?
you want to screw up the
works?
you want to blow my book sales in
Europe?
there's a bluebird in my heart that
wants to get out
but I'm too clever, I only let him out
at night sometimes
when everybody's asleep.
I say, I know that you're there,
so don't be
sad.
then I put him back,
but he's singing a little
in there, I haven't quite let him
die
and we sleep together like
that
with our
secret pact
and it's nice enough to
make a man
weep, but I don't
weep, do
you?"
A Challenge To The Dark,"shot in the eye
shot in the brain
shot in the ****
shot like a flower in the dance
amazing how death wins hands down
amazing how much credence is given to idiot forms of life
amazing how laughter has been drowned out
amazing how viciousness is such a constant
I must soon declare my own war on their war
I must hold to my last piece of ground
I must protect the small space I have made that has allowed me life
my life not their death
my death not their death…"
Be Kind,"we are always asked
to understand the other person's
viewpoint
no matter how
out-dated
foolish or
obnoxious.
one is asked
to view
their total error
their life-waste
with
kindliness,
especially if they are
aged.
but age is the total of
our doing.
they have aged
badly
because they have
lived
out of focus,
they have refused to
see.
not their fault?
whose fault?
mine?
I am asked to hide
my viewpoint
from them
for fear of their
fear.
age is no crime
but the shame
of a deliberately
wasted
life
among so many
deliberately
wasted
lives
is."
Let It Enfold You,"Either peace or happiness,
let it enfold you
when I was a young man
I felt these things were
dumb, unsophisticated.
I had bad blood, a twisted
mind, a precarious
upbringing.
I was hard as granite, I
leered at the
sun.
I trusted no man and
especially no
woman.
I was living a hell in
small rooms, I broke
things, smashed things,
walked through glass,
cursed.
I challenged everything,
was continually being
evicted, jailed, in and
out of fights, in and out
of my mind.
women were something
to screw and rail
at, I had no male
friends,
I changed jobs and
cities, I hated holidays,
babies, history,
newspapers, museums,
grandmothers,
marriage, movies,
spiders, garbagemen,
english accents,spain,
france,italy,walnuts and
the color
orange.
algebra angred me,
opera sickened me,
charlie chaplin was a
fake
and flowers were for
pansies.
peace and happiness to me
were signs of
inferiority,
tenants of the weak
and
addled
mind.
but as I went on with
my alley fights,
my suicidal years,
my passage through
any number of
women-it gradually
began to occur to
me
that I wasn't different
from the
others, I was the same,
they were all fulsome
with hatred,
glossed over with petty
grievances,
the men I fought in
alleys had hearts of stone.
everybody was nudging,
inching, cheating for
some insignificant
advantage,
the lie was the
weapon and the
plot was
empty,
darkness was the
dictator.
cautiously, I allowed
myself to feel good
at times.
I found moments of
peace in cheap
rooms
just staring at the
knobs of some
dresser
or listening to the
rain in the
dark.
the less I needed
the better I
felt.
maybe the other life had worn me
down.
I no longer found
glamour
in topping somebody
in conversation.
or in mounting the
body of some poor
drunken female
whose life had
slipped away into
sorrow.
I could never accept
life as it was,
i could never gobble
down all its
poisons
but there were parts,
tenuous magic parts
open for the
asking.
I re formulated
I don't know when,
date, time, all
that
but the change
occurred.
something in me
relaxed, smoothed
out.
i no longer had to
prove that I was a
man,
I didn't have to prove
anything.
I began to see things:
coffee cups lined up
behind a counter in a
cafe.
or a dog walking along
a sidewalk.
or the way the mouse
on my dresser top
stopped there
with its body,
its ears,
its nose,
it was fixed,
a bit of life
caught within itself
and its eyes looked
at me
and they were
beautiful.
then- it was
gone.
I began to feel good,
I began to feel good
in the worst situations
and there were plenty
of those.
like say, the boss
behind his desk,
he is going to have
to fire me.
I've missed too many
days.
he is dressed in a
suit, necktie, glasses,
he says, 'I am going
to have to let you go'
'it's all right' I tell
him.
He must do what he
must do, he has a
wife, a house, children,
expenses, most probably
a girlfriend.
I am sorry for him
he is caught.
I walk onto the blazing
sunshine.
the whole day is
mine
temporarily,
anyhow.
(the whole world is at the
throat of the world,
everybody feels angry,
short-changed, cheated,
everybody is despondent,
disillusioned)
I welcomed shots of
peace, tattered shards of
happiness.
I embraced that stuff
like the hottest number,
like high heels, breasts,
singing,the
works.
(don't get me wrong,
there is such a thing as cockeyed optimism
that overlooks all
basic problems just for
the sake of
itself-
this is a shield and a
sickness.)
The knife got near my
throat again,
I almost turned on the
gas
again
but when the good
moments arrived
again
I didn't fight them off
like an alley
adversary.
I let them take me,
I luxuriated in them,
I made them welcome
home.
I even looked into
the mirror
once having thought
myself to be
ugly,
I now liked what
I saw, almost
handsome, yes,
a bit ripped and
ragged,
scares, lumps,
odd turns,
but all in all,
not too bad,
almost handsome,
better at least than
some of those movie
star faces
like the cheeks of
a baby's
butt.
and finally I discovered
real feelings of
others,
unheralded,
like lately,
like this morning,
as I was leaving,
for the track,
i saw my wife in bed,
just the
shape of
her head there
(not forgetting
centuries of the living
and the dead and
the dying,
the pyramids,
Mozart dead
but his music still
there in the
room, weeds growing,
the earth turning,
the tote board waiting for
me)
I saw the shape of my
wife's head,
she so still,
I ached for her life,
just being there
under the
covers.
I kissed her in the
forehead,
got down the stairway,
got outside,
got into my marvelous
car,
fixed the seatbelt,
backed out the
drive.
feeling warm to
the fingertips,
down to my
foot on the gas
pedal,
I entered the world
once
more,
drove down the
hill
past the houses
full and empty
of
people,
I saw the mailman,
honked,
he waved
back
at me."
Are You Drinking?,"washed-up, on shore, the old yellow notebook
out again
I write from the bed
as I did last
year.
will see the doctor,
Monday.
""yes, doctor, weak legs, vertigo, head-
aches and my back
hurts.""
""are you drinking?"" he will ask.
""are you getting your
exercise, your
vitamins?""
I think that I am just ill
with life, the same stale yet
fluctuating
factors.
even at the track
I watch the horses run by
and it seems
meaningless.
I leave early after buying tickets on the
remaining races.
""taking off?"" asks the motel
clerk.
""yes, it's boring,""
I tell him.
""If you think it's boring
out there,"" he tells me, ""you oughta be
back here.""
so here I am
propped up against my pillows
again
just an old guy
just an old writer
with a yellow
notebook.
something is
walking across the
floor
toward
me.
oh, it's just
my cat
this
time."
As The Sparrow,"To give life you must take life,
and as our grief falls flat and hollow
upon the billion-blooded sea
I pass upon serious inward-breaking shoals rimmed
with white-legged, white-bellied rotting creatures
lengthily dead and rioting against surrounding scenes.
Dear child, I only did to you what the sparrow
did to you; I am old when it is fashionable to be
young; I cry when it is fashionable to laugh.
I hated you when it would have taken less courage
to love."
