Title,Content
Haiku (Birds Singing...),"Birds singing
in the dark
—Rainy dawn."
Haiku (The Taste...),"The taste
of rain
—Why kneel?"
Haiku (The Low Yellow...),"The low yellow
moon above the
Quiet lamplit house."
How To Meditate,"-lights out-
fall, hands a-clasped, into instantaneous
ecstasy like a shot of heroin or morphine,
the gland inside of my brain discharging
the good glad fluid (Holy Fluid) as
i hap-down and hold all my body parts
down to a deadstop trance-Healing
all my sicknesses-erasing all-not
even the shred of a 'I-hope-you' or a
Loony Balloon left in it, but the mind
blank, serene, thoughtless. When a thought
comes a-springing from afar with its held-
forth figure of image, you spoof it out,
you spuff it off, you fake it, and
it fades, and thought never comes-and
with joy you realize for the first time
'thinking's just like not thinking-
So I don't have to think
any
more'"
Hitchhiker,"'Tryna get to sunny Californy' -
Boom. It's the awful raincoat
making me look like a selfdefeated self-murdering imaginary gangster, an idiot in a rueful coat, how can they understand my damp packs - my mud packs -
„Look John, a hitchhiker'
„He looks like he's got a gun underneath that I. R. A. coat'
'Look Fred, that man by the road' „Some sexfiend got in print in 1938 in Sex Magazine' –
„You found his blue corpse in a greenshade edition, with axe blots'"
Bowery Blues,"The story of man
Makes me sick
Inside, outside,
I don't know why
Something so conditional
And all talk
Should hurt me so.
I am hurt
I am scared
I want to live
I want to die
I don't know
Where to turn
In the Void
And when
To cut
Out
For no Church told me
No Guru holds me
No advice
Just stone
Of New York
And on the cafeteria
We hear
The saxophone
O dead Ruby
Died of Shot
In Thirty Two,
Sounding like old times
And de bombed
Empty decapitated
Murder by the clock.
And I see Shadows
Dancing into Doom
In love, holding
TIght the lovely asses
Of the little girls
In love with sex
Showing themselves
In white undergarments
At elevated windows
Hoping for the Worst.
I can't take it
Anymore
If I can't hold
My little behind
To me in my room
Then it's goodbye
Sangsara
For me
Besides
Girls aren't as good
As they look
And Samadhi
Is better
Than you think
When it starts in
Hitting your head
In with Buzz
Of glittergold
Heaven's Angels
Wailing
Saying
We've been waiting for you
Since Morning, Jack
Why were you so long
Dallying in the sooty room?
This transcendental Brilliance
Is the better part
(of Nothingness
I sing)
Okay.
Quit.
Mad.
Stop."
Bus East,"Society has good intentions Bureaucracy is like a friend
5 years ago - other furies other losses -
America's
trying to control the uncontrollable Forest fires, Vice
The essential smile In the essential sleep Of the children Of the essential mind
I'm
all thru playing the American
Now I'm going to live a good quiet life
The
world should be built for foot walkers
Oily
rivers Of spiney Nevady
I
am Jake Cake
Rake
Write like Blake
The
horse is not pleased Sight of his
gorgeous finery
in the dust Its silken
nostrils
did disgust
Cats
arent kind Kiddies anent sweet
April
in Nevada - Investigating Dismal Cheyenne Where the war parties
In fields
of straw
Aimed over oxen At Indian Chiefs
In wild headdress Pouring thru
the gap
In Wyoming plain
To make the settlers
Eat more dust than dust
was eaten In the States From East at Seacoast Where wagons made up To dreadful
Plains
Of clazer vup
Saltry
settlers
Anxious to masturbate The Mongol Sea (I'm too tired in Cheyenne -
No sleep in 4 nights now, & 2 to go)"
On Tears,"Tears is the break of my brow,
The moony tempestuous
Sitting downIn dark railyards
When to see my mother’s face
Recalling from the waking vision
I wept to understand
The trap mortality
And personal blood of earth
Which saw me in—Father father
Why hast thou forsaken me?
Mortality & unpleasure
Roam this city—
Unhappiness my middle name
I want to be saved,-
Sunk—can’t be
Won’t be
Never was made—
So retch!"
10th Chorus Mexico City Blues,"The great hanging weak teat of India
on the map
The Fingernail of Malaya
The Wall of China
The Korea Ti-Pousse Thumb
The Salamander Japan
the Okinawa Moon Spot
The Pacific
The Back of Hawaiian Mountains
coconuts
Kines, balconies, Ah Tarzan-
And D W Griffith
the great American Director
Strolling down disgruntled
Hollywood Lane
- to toot Nebraska,
Indian Village New York,
Atlantis, Rome,
Peleus and Melisander,
And
swans of Balls
Spots of foam on the ocean"
In Vain,"The stars in the sky
In vain
The tragedy of Hamlet
In vain
The key in the lock
In vain
The sleeping mother
In vain
The lamp in the corner
In vain
The lamp in the corner unlit
In vain
Abraham Lincoln
In vain
The Aztec empire
In vain
The writing hand: in vain
(The shoetrees in the shoes
In vain
The windowshade string upon
the hand bible
In vain—
The glitter of the greenglass
ashtray
In vain
The bear in the woods
In vain
The Life of Buddha
In vain)"
