Title,Content
The World Is A Beautiful Place,"The world is a beautiful place
to be born into
if you don't mind happiness
not always being
so very much fun
if you don't mind a touch of hell
now and then
just when everything is fine
because even in heaven
they don't sing
all the time
The world is a beautiful place
to be born into
if you don't mind some people dying
all the time
or maybe only starving
some of the time
which isn't half bad
if it isn't you
Oh the world is a beautiful place
to be born into
if you don't much mind
a few dead minds
in the higher places
or a bomb or two
now and then
in your upturned faces
or such other improprieties
as our Name Brand society
is prey to
with its men of distinction
and its men of extinction
and its priests
and other patrolmen
and its various segregations
and congressional investigations
and other constipations
that our fool flesh
is heir to
Yes the world is the best place of all
for a lot of such things as
making the fun scene
and making the love scene
and making the sad scene
and singing low songs and having inspirations
and walking around
looking at everything
and smelling flowers
and goosing statues
and even thinking
and kissing people and
making babies and wearing pants
and waving hats and
dancing
and going swimming in rivers
on picnics
in the middle of the summer
and just generally
'living it up'
Yes
but then right in the middle of it
comes the smiling
mortician"
I Am Waiting,"I am waiting for my case to come up
and I am waiting
for a rebirth of wonder
and I am waiting
for someone to really discover America
and wail
and I am waiting
for the discovery
of a new symbolic western frontier
and I am waiting
for the American Eagle
to really spread its wings
and straighten up and fly right
and I am waiting
for the Age of Anxiety
to drop dead
and I am waiting
for the war to be fought
which will make the world safe
for anarchy
and I am waiting
for the final withering away
of all governments
and I am perpetually awaiting
a rebirth of wonder
I am waiting for the Second Coming
and I am waiting
for a religious revival
to sweep through the state of Arizona
and I am waiting
for the Grapes of Wrath to be stored
and I am waiting
for them to prove
that God is really American
and I am waiting
to see God on television
piped' onto church altars
if only they can find
the right channel
to tune in on
and I am waiting
for the Last Supper to be served again
with a strange new appetizer
and I am perpetually awaiting
a rebirth of wonder
I am waiting for my number to be called
and I am waiting
for the Salvation Army to take over
and I am waiting
for the meek to be blessed
and inherit the earth
without taxes and I am waiting
for forests and animals
to reclaim the earth as theirs
and I am waiting
for a way to be devised
to destroy all nationalisms
without killing anybody
and I am waiting
for linnets and planets to fall like rain
and I am waiting for lovers and weepers
to lie down together again
in a new rebirth of wonder
I am waiting for the Great Divide to ‘be crossed
and I am anxiously waiting
for the secret of eternal life to be discovered
by an obscure general practitioner
and I am waiting
for the storms of life
to be over
and I am waiting
to set sail for happiness
and I am waiting
for a reconstructed Mayflower
to reach America
with its picture story and tv rights
sold in advance to the natives
and I am waiting
for the lost music to sound again
in the Lost Continent
in a new rebirth of wonder
I am waiting for the day
that maketh all things clear
and I am awaiting retribution
for what America did
to Tom Sawyer
and I am waiting
for the American Boy
to take off Beauty's clothes
and get on top of her
and I am waiting
for Alice in Wonderland
to retransmit to me
her total dream of innocence
and I am waiting
for Childe Roland to come
to the final darkest tower
and I am waiting
for Aphrodite
to grow live arms
at a final disarmament conference
in a new rebirth of wonder
I am waiting
to get some intimations
of immortality
by recollecting my early childhood
and I am waiting
for the green mornings to come again
youth's dumb green fields come back again
and I am waiting
for some strains of unpremeditated art
to shake my typewriter
and I am waiting to write
the great indelible poem
and I am waiting
for the last long careless rapture
and I am perpetually waiting
for the fleeing lovers on the Grecian Urn
to catch each other up at last
and embrace
and I am waiting
perpetually and forever
a renaissance of wonder"
Constantly Risking Absurdity,"Constantly risking absurdity
and death
whenever he performs
above the heads
of his audience
the poet like an acrobat
climbs on rime
to a high wire of his own making
and balancing on eyebeams
above a sea of faces
paces his way
to the other side of the day
performing entrachats
and sleight-of-foot tricks
and other high theatrics
and all without mistaking
any thing
for what it may not be
For he's the super realist
who must perforce perceive
taut truth
before the taking of each stance or step
in his supposed advance
toward that still higher perch
where Beauty stands and waits
with gravity
to start her death-defying leap
And he
a little charleychaplin man
who may or may not catch
her fair eternal form
spreadeagled in the empty air
of existence"
Sometime During Eternity,"Sometime during eternity
some guys show up
and one of them
who shows up real late
is a kind of carpenter
from some square-type place
like Galilee
and he starts wailing
and claiming he is hep
to who made heaven
and earth
and that the cat
who really laid it on us
is his Dad
And moreover
he adds
It's all writ down
on some scroll-type parchments
which some henchmen
leave lying around the Dead Sea somewheres
a long time ago
and which you won't even find
for a coupla thousand years or so
or at least for
ninteen hundred and fortyseven
of them
to be exact
and even then
nobody really believes them
or me
for that matter
You're hot
they tell him
And they cool him
They stretch him on the Tree to cool
And everybody after that
is always making models
of this Tree
with Him hung up
and always crooning His name
and calling Him to come down
and sit in
on their combo
as if he is THE king cat
who's got to blow
or they can't quite make it
Only he don't come down
from His Tree
Him just hang there
on His Tree
looking real Petered out
and real cool
and also
according to a roundup
of late world news
from the usual unreliable sources
real dead"
The Plough Of Time,"Night closed my windows and
The sky became a crystal house
The crystal windows glowed
The moon
shown through them
through the whole house of crystal
A single star beamed down
its crystal cable
and drew a plough through the earth
unearthing bodies clasped together
couples embracing
around the earth
They clung together everywhere
emitting small cries
that did not reach the stars
The crystal earth turned
and the bodies with it
And the sky did not turn
nor the stars with it
The stars remained fixed
each with its crystal cable
beamed to earth
each attached to the immense plough
furrowing our lives"
Don'T Let That Horse,"Don't let that horse
eat that violin
cried Chagall's mother
But he
kept right on
painting
And became famous
And kept on painting
The Horse With Violin In Mouth
And when he finally finished it
he jumped up upon the horse
and rode away
waving the violin
And then with a low bow gave it
to the first naked nude he ran across
And there were no strings
attached"
Wild Dreams Of A New Beginning,"There's a breathless hush on the freeway tonight
Beyond the ledges of concrete
restaurants fall into dreams
with candlelight couples
Lost Alexandria still burns
in a billion lightbulbs
Lives cross lives
idling at stoplights
Beyond the cloverleaf turnoffs
'Souls eat souls in the general emptiness'
A piano concerto comes out a kitchen window
A yogi speaks at Ojai
'It's all taking pace in one mind'
On the lawn among the trees
lovers are listening
for the master to tell them they are one
with the universe
Eyes smell flowers and become them
There's a deathless hush
on the freeway tonight
as a Pacific tidal wave a mile high
sweeps in
Los Angeles breathes its last gas
and sinks into the sea like the Titanic all lights lit
Nine minutes later Willa Cather's Nebraska
sinks with it
The sea comes over in Utah
Mormon tabernacles washed away like barnacles
Coyotes are confounded & swim nowhere
An orchestra onstage in Omaha
keeps on playing Handel's Water Music
Horns fill with water
ans bass players float away on their instruments
clutching them like lovers horizontal
Chicago's Loop becomes a rollercoaster
Skyscrapers filled like water glasses
Great Lakes mixed with Buddhist brine
Great Books watered down in Evanston
Milwaukee beer topped with sea foam
Beau Fleuve of Buffalo suddenly become salt
Manhatten Island swept clean in sixteen seconds
buried masts of Amsterdam arise
as the great wave sweeps on Eastward
to wash away over-age Camembert Europe
manhatta steaming in sea-vines
the washed land awakes again to wilderness
the only sound a vast thrumming of crickets
a cry of seabirds high over
in empty eternity
as the Hudson retakes its thickets
and Indians reclaim their canoes"
Number 8,"It was a face which darkness could kill
in an instant
a face as easily hurt
by laughter or light
'We think differently at night'
she told me once
lying back languidly
And she would quote Cocteau
'I feel there is an angel in me' she'd say
'whom I am constantly shocking'
Then she would smile and look away
light a cigarette for me
sigh and rise
and stretch
her sweet anatomy
let fall a stocking"
The Pennycandystore Beyond The El,"The pennycandystore beyond the El
is where i first
fell in love
with unreality
Jellybeans glowed in the semi-gloom
of that september afternoon
A cat upon the counter moved among
the licorice sticks
and tootsie rolls
and Oh Boy Gum
Outside the leaves were falling as they died
A wind had blown away the sun
A girl ran in
Her hair was rainy
Her breasts were breathless in the little room
Outside the leaves were falling
and they cried
Too soon! too soon!"
Populist Manifesto No. 1,"Poets, come out of your closets,
Open your windows, open your doors,
You have been holed-up too long
in your closed worlds.
Come down, come down
from your Russian Hills and Telegraph Hills,
your Beacon Hills and your Chapel Hills,
your Mount Analogues and Montparnasses,
down from your foothills and mountains,
out of your teepees and domes.
The trees are still falling
and we’ll to the woods no more.
No time now for sitting in them
As man burns down his own house
to roast his pig
No more chanting Hare Krishna
while Rome burns.
San Francisco’s burning,
Mayakovsky’s Moscow’s burning
the fossil-fuels of life.
Night & the Horse approaches
eating light, heat & power,
and the clouds have trousers.
No time now for the artist to hide
above, beyond, behind the scenes,
indifferent, paring his fingernails,
refining himself out of existence.
No time now for our little literary games,
no time now for our paranoias & hypochondrias,
no time now for fear & loathing,
time now only for light & love.
We have seen the best minds of our generation
destroyed by boredom at poetry readings.
Poetry isn’t a secret society,
It isn’t a temple either.
Secret words & chants won’t do any longer.
The hour of oming is over,
the time of keening come,
a time for keening & rejoicing
over the coming end
of industrial civilization
which is bad for earth & Man.
Time now to face outward
in the full lotus position
with eyes wide open,
Time now to open your mouths
with a new open speech,
time now to communicate with all sentient beings,
All you ‘Poets of the Cities’
hung in museums including myself,
All you poet’s poets writing poetry
about poetry,
All you poetry workshop poets
in the boondock heart of America,
All you housebroken Ezra Pounds,
All you far-out freaked-out cut-up poets,
All you pre-stressed Concrete poets,
All you cunnilingual poets,
All you pay-toilet poets groaning with graffiti,
All you A-train swingers who never swing on birches,
All you masters of the sawmill haiku in the Siberias of America,
All you eyeless unrealists,
All you self-occulting supersurrealists,
All you bedroom visionaries and closet agitpropagators,
All you Groucho Marxist poets
and leisure-class Comrades
who lie around all day and talk about the workingclass proletariat,
All you Catholic anarchists of poetry,
All you Black Mountaineers of poetry,
All you Boston Brahims and Bolinas bucolics,
All you den mothers of poetry,
All you zen brothers of poetry,
All you suicide lovers of poetry,
All you hairy professors of poesie,
All you poetry reviewers
drinking the blood of the poet,
All you Poetry Police -
Where are Whitman’s wild children,
where the great voices speaking out
with a sense of sweetness and sublimity,
where the great’new vision,
the great world-view,
the high prophetic song
of the immense earth
and all that sings in it
And our relations to it -
Poets, descend
to the street of the world once more
And open your minds & eyes
with the old visual delight,
Clear your throat and speak up,
Poetry is dead, long live poetry
with terrible eyes and buffalo strength.
Don’t wait for the Revolution
or it’ll happen without you,
Stop mumbling and speak out
with a new wide-open poetry
with a new commonsensual ‘public surface’
with other subjective levels
or other subversive levels,
a tuning fork in the inner ear
to strike below the surface.
Of your own sweet Self still sing
yet utter ‘the word en-masse -
Poetry the common carrier
for the transportation of the public
to higher places
than other wheels can carry it.
Poetry still falls from the skies
into our streets still open.
They haven’t put up the barricades, yet,
the streets still alive with faces,
lovely men & women still walking there,
still lovely creatures everywhere,
in the eyes of all the secret of all
still buried there,
Whitman’s wild children still sleeping there,
Awake and walk in the open air."
