Title,Content
Cinderella,The text of this poem could not be published because of Copyright laws.
Daddy,"You do not do, you do not do
Any more, black shoe
In which I have lived like a foot
For thirty years, poor and white,
Barely daring to breathe or Achoo.
Daddy, I have had to kill you.
You died before I had time- -
Marble-heavy, a bag full of God,
Ghastly statue with one gray toe
Big as a Frisco seal
And a head in the freakish Atlantic
Where it pours bean green over blue
In the waters off the beautiful Nauset.
I used to pray to recover you.
Ach, du.
In the German tongue, in the Polish town
Scraped flat by the roller
Of wars, wars, wars.
But the name of the town is common.
My Polack friend
Says there are a dozen or two.
So I never could tell where you
Put your foot, your root,
I never could talk to you.
The tongue stuck in my jaw.
It stuck in a barb wire snare.
Ich, ich, ich, ich,
I could hardly speak.
I thought every German was you.
And the language obscene
An engine, an engine,
Chuffing me off like a Jew.
A Jew to Dachau, Auschwitz, Belsen.
I began to talk like a Jew.
I think I may well be a Jew.
The snows of the Tyrol, the clear beer of Vienna
Are not very pure or true.
With my gypsy ancestress and my weird luck
And my Taroc pack and my Taroc pack
I may be a bit of a Jew.
I have always been scared of you,
With your Luftwaffe, your gobbledygoo.
And your neat mustache
And your Aryan eye, bright blue.
Panzer-man, panzer-man, O You- -
Not God but a swastika
So black no sky could squeak through.
Every woman adores a Fascist,
The boot in the face, the brute
Brute heart of a brute like you.
You stand at the blackboard, daddy,
In the picture I have of you,
A cleft in your chin instead of your foot
But no less a devil for that, no not
Any less the black man who
Bit my pretty red heart in two.
I was ten when they buried you.
At twenty I tried to die
And get back, back, back to you.
I thought even the bones would do.
But they pulled me out of the sack,
And they stuck me together with glue.
And then I knew what to do.
I made a model of you,
A man in black with a Meinkampf look
And a love of the rack and the screw.
And I said I do, I do.
So daddy, I'm finally through.
The black telephone's off at the root,
The voices just can't worm through.
If I've killed one man, I've killed two- -
The vampire who said he was you
And drank my blood for a year,
Seven years, if you want to know.
Daddy, you can lie back now.
There's a stake in your fat black heart
And the villagersnever liked you.
They are dancing and stamping on you.
They always knew it was you.
Daddy, daddy, you bastard, I'm through."
Lady Lazarus,The text of this poem could not be published because of Copyright laws.
A Birthday Present,The text of this poem could not be published because of Copyright laws.
Ariel,The text of this poem could not be published because of Copyright laws.
Mad Girl's Love Song,The text of this poem could not be published because of Copyright laws.
Metaphors,The text of this poem could not be published because of Copyright laws.
Mirror,The text of this poem could not be published because of Copyright laws.
Child,The text of this poem could not be published because of Copyright laws.
A Life,The text of this poem could not be published because of Copyright laws.
April 18,The text of this poem could not be published because of Copyright laws.
Blackberrying,The text of this poem could not be published because of Copyright laws.
Insomniac,The text of this poem could not be published because of Copyright laws.
Aftermath,The text of this poem could not be published because of Copyright laws.
Cut,The text of this poem could not be published because of Copyright laws.
Balloons,The text of this poem could not be published because of Copyright laws.
I Am Vertical,The text of this poem could not be published because of Copyright laws.
Black Rook In Rainy Weather,The text of this poem could not be published because of Copyright laws.
Among The Narcissi,The text of this poem could not be published because of Copyright laws.
Tulips,The text of this poem could not be published because of Copyright laws.
Edge,The text of this poem could not be published because of Copyright laws.
Mushrooms,The text of this poem could not be published because of Copyright laws.
The Rival,The text of this poem could not be published because of Copyright laws.
An Appearance,The text of this poem could not be published because of Copyright laws.
By Candlelight,The text of this poem could not be published because of Copyright laws.
You'Re,The text of this poem could not be published because of Copyright laws.
A Lesson In Vengeance,The text of this poem could not be published because of Copyright laws.
Never Try To Trick Me With A Kiss,The text of this poem could not be published because of Copyright laws.
Crossing The River,The text of this poem could not be published because of Copyright laws.
Apprehensions,The text of this poem could not be published because of Copyright laws.
Morning Song,The text of this poem could not be published because of Copyright laws.
Conversation Among The Ruins,The text of this poem could not be published because of Copyright laws.
Lesbos,The text of this poem could not be published because of Copyright laws.
Wuthering Heights,The text of this poem could not be published because of Copyright laws.
Jilted,The text of this poem could not be published because of Copyright laws.
Contusion,The text of this poem could not be published because of Copyright laws.
Stillborn,The text of this poem could not be published because of Copyright laws.
Death &Amp Co.,The text of this poem could not be published because of Copyright laws.
Winter Trees,The text of this poem could not be published because of Copyright laws.
Monologue At 3 Am,The text of this poem could not be published because of Copyright laws.
Poppies In July,The text of this poem could not be published because of Copyright laws.
The Applicant,The text of this poem could not be published because of Copyright laws.
The Colossus,The text of this poem could not be published because of Copyright laws.
Love Letter,The text of this poem could not be published because of Copyright laws.
Berck-Plage,The text of this poem could not be published because of Copyright laws.
On Looking Into The Eyes Of A Demon Lover,The text of this poem could not be published because of Copyright laws.
Kindness,The text of this poem could not be published because of Copyright laws.
Medusa,The text of this poem could not be published because of Copyright laws.
In Plaster,The text of this poem could not be published because of Copyright laws.
The Moon And The Yew Tree,The text of this poem could not be published because of Copyright laws.
Words,The text of this poem could not be published because of Copyright laws.
Spinster,The text of this poem could not be published because of Copyright laws.
Elm,The text of this poem could not be published because of Copyright laws.
Mystic,The text of this poem could not be published because of Copyright laws.
Crossing The Water,The text of this poem could not be published because of Copyright laws.
Sow,The text of this poem could not be published because of Copyright laws.
Bucolics,The text of this poem could not be published because of Copyright laws.
Fever 103 Deg.,The text of this poem could not be published because of Copyright laws.
Years,The text of this poem could not be published because of Copyright laws.
Last Words,The text of this poem could not be published because of Copyright laws.
The Night Dances,The text of this poem could not be published because of Copyright laws.
Sheep In Fog,The text of this poem could not be published because of Copyright laws.
Lorelei,The text of this poem could not be published because of Copyright laws.
Southern Sunrise,The text of this poem could not be published because of Copyright laws.
Pursuit,The text of this poem could not be published because of Copyright laws.
The Arrival Of The Bee Box,The text of this poem could not be published because of Copyright laws.
Dialogue Between Ghost And Priest,The text of this poem could not be published because of Copyright laws.
Snakecharmer,The text of this poem could not be published because of Copyright laws.
Paralytic,The text of this poem could not be published because of Copyright laws.
Getting There,The text of this poem could not be published because of Copyright laws.
The Other,The text of this poem could not be published because of Copyright laws.
Face Lift,The text of this poem could not be published because of Copyright laws.
Stings,The text of this poem could not be published because of Copyright laws.
Letter In November,The text of this poem could not be published because of Copyright laws.
Gigolo,The text of this poem could not be published because of Copyright laws.
Full Fathom Five,The text of this poem could not be published because of Copyright laws.
Poppies In October,The text of this poem could not be published because of Copyright laws.
The Dead,The text of this poem could not be published because of Copyright laws.
Night Shift,The text of this poem could not be published because of Copyright laws.
Mary's Song,The text of this poem could not be published because of Copyright laws.
Three Women,The text of this poem could not be published because of Copyright laws.
Perseus,The text of this poem could not be published because of Copyright laws.
Electra On Azalea Path,The text of this poem could not be published because of Copyright laws.
